grid_i,grid_j,X_original,Y_original,Z_original,X_deformed,Y_deformed,Z_deformed,grid_value,distance_from_origin,decay_factor
12,10,0.2631578947368416,1.3157894736842106,0.0,0.2631578947368416,1.658214654975406,0.21534467736108992,0.21534467736108992,1.341847240419154,0.9048095687440754
12,11,0.7894736842105257,1.3157894736842106,0.0,0.7894736842105257,1.6478357958950378,0.20881761048005515,0.20881761048005515,1.5344610249592894,0.877384917983425
12,12,1.3157894736842106,1.3157894736842106,0.0,1.3157894736842106,1.6280122880820325,0.19635098382000693,0.19635098382000693,1.8608073189119674,0.8250041336975081
12,13,1.8421052631578947,1.3157894736842106,0.0,1.8421052631578947,1.6004738110419765,0.17903255989205516,0.17903255989205516,2.2637698071164807,0.7522376466052738
12,14,2.3684210526315788,1.3157894736842106,0.0,2.3684210526315788,1.5674965897275548,0.1582938132337585,0.1582938132337585,2.709376352891316,0.6651000556040273
12,15,2.894736842105263,1.3157894736842106,0.0,2.894736842105263,1.5315939224789672,0.13571530932263726,0.13571530932263726,3.179748940419624,0.5702323921119212
12,16,3.421052631578947,1.3157894736842106,0.0,3.421052631578947,1.4952042768605822,0.11283055398593331,0.11283055398593331,3.665365336101084,0.4740779579240895
12,17,3.947368421052632,1.3157894736842106,0.0,3.947368421052632,1.460429713283959,0.09096149299706727,0.09096149299706727,4.160891658116289,0.38219114704650115
12,18,4.473684210526315,1.3157894736842106,0.0,4.473684210526315,1.4288609264293017,0.07110848395648481,0.07110848395648481,4.663169775439302,0.29877514267430594
12,19,5.0,1.3157894736842106,0.0,5.0,1.4015030846280097,0.05390365809122512,0.05390365809122512,5.170232290628553,0.2264859583664921
13,0,-5.0,1.8421052631578947,0.0,-5.0,1.9202588169945645,0.0491492821062952,0.0491492821062952,5.328541245083312,0.2065095886819126
13,1,-4.473684210526316,1.8421052631578947,0.0,-4.473684210526316,1.9452036599259201,0.06483661892136355,0.06483661892136355,4.838099029171114,0.2724227685771578
13,2,-3.947368421052632,1.8421052631578947,0.0,-3.947368421052632,1.9739880368275247,0.0829385655525748,0.0829385655525748,4.356038251907066,0.34848136786796136
13,3,-3.4210526315789473,1.8421052631578947,0.0,-3.4210526315789473,2.00569543658244,0.102878745607192,0.102878745607192,3.885479752693,0.4322636370050084
13,4,-2.8947368421052633,1.8421052631578947,0.0,-2.8947368421052633,2.038875465945554,0.1237450343862147,0.1237450343862147,3.431159160632973,0.5199371192698097
13,5,-2.368421052631579,1.8421052631578947,0.0,-2.368421052631579,2.0716114690936696,0.1443320835320766,0.1443320835320766,3.0004616449977317,0.6064373257650277
13,6,-1.8421052631578947,1.8421052631578947,0.0,-1.8421052631578947,2.101680054619372,0.16324164451798562,0.16324164451798562,2.605130246476754,0.6858892626806119
13,7,-1.3157894736842106,1.8421052631578947,0.0,-1.3157894736842106,2.126789600515661,0.17903255989205516,0.17903255989205516,2.2637698071164807,0.7522376466052738
13,8,-0.7894736842105265,1.8421052631578947,0.0,-0.7894736842105265,2.1448646479677063,0.19039961311860257,0.19039961311860257,2.0041508173326075,0.79999837444791
13,9,-0.2631578947368425,1.8421052631578947,0.0,-0.2631578947368425,2.1543280775557165,0.19635098382000693,0.19635098382000693,1.8608073189119672,0.8250041336975081
13,10,0.2631578947368416,1.8421052631578947,0.0,0.2631578947368416,2.1543280775557165,0.19635098382000696,0.19635098382000696,1.860807318911967,0.8250041336975082
13,11,0.7894736842105257,1.8421052631578947,0.0,0.7894736842105257,2.1448646479677063,0.1903996131186026,0.1903996131186026,2.004150817332607,0.7999983744479101
13,12,1.3157894736842106,1.8421052631578947,0.0,1.3157894736842106,2.126789600515661,0.17903255989205516,0.17903255989205516,2.2637698071164807,0.7522376466052738
13,13,1.8421052631578947,1.8421052631578947,0.0,1.8421052631578947,2.101680054619372,0.16324164451798562,0.16324164451798562,2.605130246476754,0.6858892626806119
13,14,2.3684210526315788,1.8421052631578947,0.0,2.3684210526315788,2.0716114690936696,0.1443320835320766,0.1443320835320766,3.0004616449977313,0.6064373257650277
13,15,2.894736842105263,1.8421052631578947,0.0,2.894736842105263,2.038875465945554,0.1237450343862147,0.1237450343862147,3.4311591606329728,0.5199371192698097
13,16,3.421052631578947,1.8421052631578947,0.0,3.421052631578947,2.00569543658244,0.10287874560719203,0.10287874560719203,3.8854797526929996,0.4322636370050085
13,17,3.947368421052632,1.8421052631578947,0.0,3.947368421052632,1.9739880368275247,0.0829385655525748,0.0829385655525748,4.356038251907066,0.34848136786796136
13,18,4.473684210526315,1.8421052631578947,0.0,4.473684210526315,1.9452036599259201,0.06483661892136355,0.06483661892136355,4.838099029171114,0.2724227685771578
13,19,5.0,1.8421052631578947,0.0,5.0,1.9202588169945645,0.0491492821062952,0.0491492821062952,5.328541245083312,0.2065095886819126
14,0,-5.0,2.3684210526315788,0.0,-5.0,2.437521466891618,0.04345593498187168,0.04345593498187168,5.532577905691747,0.18258796210870457
14,1,-4.473684210526316,2.3684210526315788,0.0,-4.473684210526316,2.4595767528714543,0.057326084442040855,0.057326084442040855,5.061943174124038,0.24086590101697838
14,2,-3.947368421052632,2.3684210526315788,0.0,-3.947368421052632,2.4850268094648467,0.07333114051081449,0.07333114051081449,4.603383074877869,0.3081140357597248
14,3,-3.4210526315789473,2.3684210526315788,0.0,-3.4210526315789473,2.513061292231327,0.0909614929970673,0.0909614929970673,4.160891658116288,0.38219114704650126
14,4,-2.8947368421052633,2.3684210526315788,0.0,-2.8947368421052633,2.542397818359659,0.10941067576504972,0.10941067576504972,3.740176421987341,0.4597087217018896
14,5,-2.368421052631579,2.3684210526315788,0.0,-2.368421052631579,2.571341753314685,0.12761296541836253,0.12761296541836253,3.349453174041541,0.5361889303292544
14,6,-1.8421052631578947,2.3684210526315788,0.0,-1.8421052631578947,2.5979272585673536,0.1443320835320766,0.1443320835320766,3.0004616449977313,0.6064373257650277
14,7,-1.3157894736842106,2.3684210526315788,0.0,-1.3157894736842106,2.6201281686749227,0.1582938132337585,0.1582938132337585,2.709376352891316,0.6651000556040273
14,8,-0.7894736842105265,2.3684210526315788,0.0,-0.7894736842105265,2.636109441507588,0.16834413146384003,0.16834413146384003,2.4965349948697733,0.7073282834615128
14,9,-0.2631578947368425,2.3684210526315788,0.0,-0.2631578947368425,2.644476647766933,0.17360610818394595,0.17360610818394595,2.3829960889835307,0.7294374293443108
14,10,0.2631578947368416,2.3684210526315788,0.0,0.2631578947368416,2.644476647766933,0.17360610818394595,0.17360610818394595,2.3829960889835307,0.7294374293443108
14,11,0.7894736842105257,2.3684210526315788,0.0,0.7894736842105257,2.636109441507588,0.16834413146384006,0.16834413146384006,2.496534994869773,0.7073282834615129
14,12,1.3157894736842106,2.3684210526315788,0.0,1.3157894736842106,2.6201281686749227,0.1582938132337585,0.1582938132337585,2.709376352891316,0.6651000556040273
14,13,1.8421052631578947,2.3684210526315788,0.0,1.8421052631578947,2.5979272585673536,0.1443320835320766,0.1443320835320766,3.0004616449977313,0.6064373257650277
14,14,2.3684210526315788,2.3684210526315788,0.0,2.3684210526315788,2.571341753314685,0.12761296541836256,0.12761296541836256,3.3494531740415407,0.5361889303292545
14,15,2.894736842105263,2.3684210526315788,0.0,2.894736842105263,2.542397818359659,0.10941067576504973,0.10941067576504973,3.7401764219873406,0.45970872170188964
14,16,3.421052631578947,2.3684210526315788,0.0,3.421052631578947,2.513061292231327,0.0909614929970673,0.0909614929970673,4.160891658116288,0.38219114704650126
14,17,3.947368421052632,2.3684210526315788,0.0,3.947368421052632,2.4850268094648467,0.07333114051081449,0.07333114051081449,4.603383074877869,0.3081140357597248
14,18,4.473684210526315,2.3684210526315788,0.0,4.473684210526315,2.4595767528714543,0.05732608444204089,0.05732608444204089,5.061943174124037,0.24086590101697855
14,19,5.0,2.3684210526315788,0.0,5.0,2.437521466891618,0.04345593498187168,0.04345593498187168,5.532577905691747,0.18258796210870457
15,0,-5.0,2.894736842105263,0.0,-5.0,2.953981002720528,0.03725752470982469,0.03725752470982469,5.777499578973723,0.15654422146985164
15,1,-4.473684210526316,2.894736842105263,0.0,-4.473684210526316,2.9728903959419326,0.0491492821062952,0.0491492821062952,5.328541245083312,0.2065095886819126
15,2,-3.947368421052632,2.894736842105263,0.0,-3.947368421052632,2.994710340968781,0.06287143012159441,0.06287143012159441,4.8950197994048095,0.26416567277980846
15,3,-3.4210526315789473,2.894736842105263,0.0,-3.4210526315789473,3.018746078200877,0.07798704767011806,0.07798704767011806,4.481417464717474,0.327676670882849
15,4,-2.8947368421052633,2.894736842105263,0.0,-2.8947368421052633,3.0438981396530744,0.09380470026788,0.09380470026788,4.093776101606328,0.39413739608352943
15,5,-2.368421052631579,2.894736842105263,0.0,-2.368421052631579,3.068713607833343,0.10941067576504972,0.10941067576504972,3.740176421987341,0.4597087217018896
15,6,-1.8421052631578947,2.894736842105263,0.0,-1.8421052631578947,3.0915070448929223,0.1237450343862147,0.1237450343862147,3.4311591606329728,0.5199371192698097
15,7,-1.3157894736842106,2.894736842105263,0.0,-1.3157894736842106,3.1105412909000196,0.13571530932263726,0.13571530932263726,3.179748940419624,0.5702323921119212
15,8,-0.7894736842105265,2.894736842105263,0.0,-0.7894736842105265,3.1242430480410377,0.1443320835320766,0.1443320835320766,3.0004616449977313,0.6064373257650277
